DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,crime_bin
231804371,1/5/2023 0:00,1/2/2023 0:00,2230,18,Southeast,1822,2,850,INDECENT EXPOSURE,0913 0529 0432,22,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,850,,,,100 W  COLDEN                       AV,,33.9492,-118.2739,sex
230314912,8/9/2023 0:00,7/14/2023 0:00,2114,03,Southwest,0327,2,932,PEEPING TOM,1822 1501 1251,21,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",515,PHYSICAL PRESENCE,IC,Invest Cont,932,,,,1200 W  27TH                         ST,,34.0303,-118.2865,sex
231418343,10/5/2023 0:00,10/5/2023 0:00,1220,14,Pacific,1435,2,940,EXTORTION,1822 1915,26,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,3700    MCLAUGHLIN                   AV,,34.0106,-118.4262,fraud
230321504,12/19/2023 0:00,12/17/2023 0:00,0830,03,Southwest,0397,2,940,EXTORTION,0432,24,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,1300 W  41ST                         ST,,34.0091,-118.298,fraud
232005158,1/31/2023 0:00,1/30/2023 0:00,1310,20,Olympic,2019,2,850,INDECENT EXPOSURE,0529 1822,46,F,W,103,ALLEY,,,IC,Invest Cont,850,,,,100 N  WESTMORELAND                 AV,,34.0735,-118.2879,sex
230912019,7/21/2023 0:00,1/18/2023 0:00,1200,09,Van Nuys,0941,2,806,PANDERING,1501 1402,0,F,X,101,STREET,,,AA,Adult Arrest,806,998,,,VOSE                         ST,SEPULVEDA                    BL,34.1766,-118.4589,other
231714827,8/14/2023 0:00,8/12/2023 0:00,0840,17,Devonshire,1771,2,762,LEWD CONDUCT,1300 0534 1822 1501,37,M,W,108,PARKING LOT,,,IC,Invest Cont,762,,,,20200    PLUMMER                      ST,,34.2427,-118.5735,sex
231113244,9/9/2023 0:00,9/8/2023 0:00,1230,11,Northeast,1136,2,647,THROWING OBJECT AT MOVING VEHICLE,0447 0919 1312,44,F,O,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,4400    YORK                         BL,,34.1241,-118.2204,vandalism
231100805,9/4/2023 0:00,9/3/2023 0:00,0115,11,Northeast,1133,2,933,PROWLER,1402 2004,43,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,933,998,,,3200    KAZAZ                        LN,,34.1156,-118.2513,other
231104708,1/19/2023 0:00,1/18/2023 0:00,1700,11,Northeast,1178,2,940,EXTORTION,1822 0344 0100 0940 0337,18,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,800    ISABEL                       ST,,34.0932,-118.221,fraud
230122036,10/17/2023 0:00,10/17/2023 0:00,0700,01,Central,0166,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0416 1212 1402 2004 0344 0305 1822 0907,0,F,W,102,SIDEWALK,308,STICK,AA,Adult Arrest,231,998,,,6TH                          ST,SAN PEDRO,34.0423,-118.2453,violent
230900763,4/14/2023 0:00,2/14/2023 0:00,1145,09,Van Nuys,0914,2,806,PANDERING,1501 1402 1212,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,806,998,,,VOSE,SEPULVEDA,34.1984,-118.4662,other
231305935,2/7/2023 0:00,1/30/2023 0:00,2000,13,Newton,1345,2,940,EXTORTION,1258 1915 0337,13,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,4100    NAOMI                        AV,,34.0093,-118.2538,fraud
230114145,6/13/2023 0:00,6/12/2023 0:00,2240,01,Central,0156,1,353,DRUNK ROLL,0344 1822 1218 2004,40,F,B,809,METROLINK TRAIN,,,IC,Invest Cont,353,,,,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,theft
230613798,8/12/2023 0:00,8/12/2023 0:00,1100,06,Hollywood,0659,2,932,PEEPING TOM,1822 0372 1300,19,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,932,,,,5200 W  SUNSET                       BL,,34.0981,-118.3033,sex
231009927,6/3/2023 0:00,6/2/2023 0:00,0720,10,West Valley,1047,2,850,INDECENT EXPOSURE,1822,47,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,850,,,,MARTHA                       ST,LASAINE                      AV,34.1732,-118.5105,sex
230106825,2/12/2023 0:00,2/12/2023 0:00,0700,01,Central,0111,2,647,THROWING OBJECT AT MOVING VEHICLE,0910 0447,0,M,W,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,ARCADIA,LOS ANGELES,34.0553,-118.2392,vandalism
231116480,12/4/2023 0:00,11/20/2023 0:00,1200,11,Northeast,1162,2,940,EXTORTION,1822 1501 1914 1915,59,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,1300    LYMAN                        PL,,34.0957,-118.2885,fraud
230516023,11/20/2023 0:00,11/20/2023 0:00,1355,05,Harbor,0584,2,928,THREATENING PHONE CALLS/LETTERS,1822 1202 1912,63,M,X,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,928,,,,800 W  29TH                         ST,,33.7182,-118.2949,other
231905369,2/3/2023 0:00,1/19/2023 0:00,1700,19,Mission,1916,2,850,INDECENT EXPOSURE,1402 1822 0529 1259,17,F,H,101,STREET,,,IC,Invest Cont,850,998,,,BORDEN                       AV,ASTORIA                      ST,34.3075,-118.4432,sex
230812814,8/3/2023 0:00,8/3/2023 0:00,1050,08,West LA,0853,2,886,DISTURBING THE PEACE,1501,50,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,886,,,,11500    IOWA                         AV,,34.0437,-118.4503,other
231215109,7/4/2023 0:00,7/4/2023 0:00,1100,12,77th Street,1249,2,850,INDECENT EXPOSURE,1257 1822 0529,28,F,H,101,STREET,,,IC,Invest Cont,850,,,,7100 S  HOOVER                       ST,,33.9752,-118.2871,sex
231517546,11/14/2023 0:00,11/13/2023 0:00,1315,15,N Hollywood,1548,2,762,LEWD CONDUCT,0500 1822,71,F,W,104,DRIVEWAY,,,AO,Adult Other,762,,,,5200    TUJUNGA                      AV,,34.165,-118.379,sex
230500760,8/20/2023 0:00,8/20/2023 0:00,1320,05,Harbor,0509,2,933,PROWLER,0314 0358 1822,64,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,933,,,,1400    251ST                        ST,,33.7968,-118.3012,other
231206527,2/10/2023 0:00,2/1/2023 0:00,1200,12,77th Street,1215,2,850,INDECENT EXPOSURE,0529 1402,48,F,H,101,STREET,,,AA,Adult Arrest,850,998,,,VERMONT                      AV,58TH                         ST,33.9897,-118.2915,sex
230709053,4/29/2023 0:00,4/28/2023 0:00,2300,07,Wilshire,0752,2,940,EXTORTION,1259 1915,16,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,1200    ALVIRA                       ST,,34.0547,-118.3723,fraud
231314589,7/27/2023 0:00,7/20/2023 0:00,1151,13,Newton,1307,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1407 1402 1212,0,M,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,OTHER KNIFE,IC,Invest Cont,231,998,,,1000 E  7TH                          ST,,34.0385,-118.2437,violent
231712548,7/9/2023 0:00,7/8/2023 0:00,0940,17,Devonshire,1752,2,940,EXTORTION,,18,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,20900    LASSEN                       ST,,34.2536,-118.5913,fraud
230311361,5/24/2023 0:00,5/24/2023 0:00,0030,03,Southwest,0327,2,940,EXTORTION,1251 0913 2024,24,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,2600    ORCHARD                      AV,,34.0328,-118.2874,fraud
230121126,10/3/2023 0:00,10/3/2023 0:00,1510,01,Central,0181,2,755,BOMB SCARE,0404 1501,0,X,X,741,STAPLES CENTER *,501,BOMB THREAT,IC,Invest Cont,755,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692,violent
230112233,5/12/2023 0:00,5/12/2023 0:00,1858,01,Central,0181,2,755,BOMB SCARE,0404,0,X,X,741,STAPLES CENTER *,501,BOMB THREAT,IC,Invest Cont,755,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692,violent
230715462,10/6/2023 0:00,10/6/2023 0:00,1230,07,Wilshire,0713,2,886,DISTURBING THE PEACE,1501,43,M,O,108,PARKING LOT,,,IC,Invest Cont,886,,,,7600    BEVERLY                      BL,,34.0782,-118.3573,other
230313536,7/13/2023 0:00,7/12/2023 0:00,2230,03,Southwest,0314,2,886,DISTURBING THE PEACE,0913 0361 0603 1501 0319,52,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,886,,,,3700 W  27TH                         ST,,34.0312,-118.3239,other
230507445,4/5/2023 0:00,4/5/2023 0:00,0310,05,Harbor,0541,2,850,INDECENT EXPOSURE,0529 2004,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,850,,,,1200 W  CAPITOL                      DR,,33.7567,-118.3029,sex
231506193,2/20/2023 0:00,2/20/2023 0:00,2030,15,N Hollywood,1519,2,940,EXTORTION,1906,46,M,W,750,CYBERSPACE,,,IC,Invest Cont,940,,,,6700    RIVERTON                     AV,,34.1922,-118.366,fraud
231316655,9/3/2023 0:00,9/2/2023 0:00,1300,13,Newton,1342,2,940,EXTORTION,0337 0432,37,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,300 E  36TH                         ST,,34.0156,-118.2704,fraud
231917552,12/7/2023 0:00,12/7/2023 0:00,0950,19,Mission,1963,2,886,DISTURBING THE PEACE,0447 2003,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,886,,,,9500    VAN NUYS                     BL,,34.2427,-118.4502,other
230715551,10/9/2023 0:00,10/9/2023 0:00,1120,07,Wilshire,0733,2,850,INDECENT EXPOSURE,0529 1259 1251,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,850,,,,5800    WILSHIRE                     BL,,34.0637,-118.3562,sex
231907745,4/6/2023 0:00,1/20/2023 0:00,2000,19,Mission,1987,2,850,INDECENT EXPOSURE,0529,41,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,850,,,,8600    STANSBURY                    AV,,34.2267,-118.4424,sex
231005849,2/16/2023 0:00,2/16/2023 0:00,1000,10,West Valley,1024,2,933,PROWLER,0314 1822 0202,35,F,H,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,933,,,,6700    YOLANDA                      AV,,34.1924,-118.5404,other
231307670,3/12/2023 0:00,3/12/2023 0:00,1500,13,Newton,1321,2,850,INDECENT EXPOSURE,0216 0400 0448 0500 0522 1822 0910,20,F,H,933,MTA - BLUE LINE - GRAND/LATTC,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,850,,,,WASHINGTON                   BL,GRAND                        AV,34.0326,-118.2684,sex
230618152,11/22/2023 0:00,11/13/2023 0:00,2000,06,Hollywood,0643,2,940,EXTORTION,1822 0400 0421 0422 0337 0448,28,M,O,101,STREET,312,PIPE/METAL PIPE,IC,Invest Cont,940,,,,1500 N  FULLER                       AV,,34.098,-118.349,fraud
230816860,11/14/2023 0:00,3/30/2023 0:00,1200,08,West LA,0839,2,940,EXTORTION,0432 0337 0342 0913,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,940,,,,1800    CENTURY                      PK,,34.0586,-118.4164,fraud
231412175,6/7/2023 0:00,6/7/2023 0:00,1135,14,Pacific,1491,2,647,THROWING OBJECT AT MOVING VEHICLE,1501,30,F,W,101,STREET,306,ROCK/THROWN OBJECT,IC,Invest Cont,647,,,,VISTA DEL MAR,GRAND,33.9165,-118.4276,vandalism
232112924,8/12/2023 0:00,8/12/2023 0:00,1145,21,Topanga,2156,2,762,LEWD CONDUCT,0529,28,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,762,,,,21900    VANOWEN                      ST,,34.1938,-118.6044,sex
231422361,12/29/2023 0:00,12/27/2023 0:00,1000,14,Pacific,1496,2,882,INCITING A RIOT,1501,0,X,X,101,STREET,,,IC,Invest Cont,882,,,,96TH                         ST,SEPULVEDA                    BL,33.9485,-118.3961,other
230311373,5/25/2023 0:00,4/1/2023 0:00,1200,03,Southwest,0355,2,940,EXTORTION,1501 1822,34,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,1800 W  36TH                         ST,,34.0228,-118.3119,fraud
231112082,8/10/2023 0:00,8/9/2023 0:00,2210,11,Northeast,1102,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1501,0,X,X,101,STREET,307,VEHICLE,IC,Invest Cont,231,,,,COLORADO,EDENHURST,34.1417,-118.2731,violent
231715054,9/12/2023 0:00,9/12/2023 0:00,1656,17,Devonshire,1745,2,755,BOMB SCARE,0404,0,X,X,721,HIGH SCHOOL,511,VERBAL THREAT,IC,Invest Cont,755,,,,10500    ZELZAH                       AV,,34.2613,-118.5234,violent
230808724,4/24/2023 0:00,4/24/2023 0:00,1315,08,West LA,0858,2,940,EXTORTION,0337 1813,65,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,940,,,,1100 S  CLARK                        DR,,34.0571,-118.3847,fraud
231517859,11/20/2023 0:00,11/19/2023 0:00,1400,15,N Hollywood,1522,2,940,EXTORTION,1900,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,7000    WORTSER                      AV,,34.1976,-118.417,fraud
230704818,1/15/2023 0:00,1/9/2023 0:00,1700,07,Wilshire,0764,2,940,EXTORTION,1915,66,M,H,751,WEBSITE,511,VERBAL THREAT,IC,Invest Cont,940,,,,1400 S  CLOVERDALE                   AV,,34.0482,-118.3515,fraud
232008852,4/27/2023 0:00,4/27/2023 0:00,1752,20,Olympic,2054,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 1300 1309 1212 0906,0,M,X,101,STREET,307,VEHICLE,AA,Adult Arrest,231,,,,HARVARD                      BL,OLYMPIC                      BL,34.0526,-118.3042,violent
231613415,10/27/2023 0:00,10/26/2023 0:00,1015,16,Foothill,1681,2,850,INDECENT EXPOSURE,0529 1259,16,F,H,103,ALLEY,,,IC,Invest Cont,850,,,,PEORIA                       ST,ROSCOE                       BL,34.2217,-118.4031,sex
230810706,6/9/2023 0:00,6/9/2023 0:00,1900,08,West LA,0899,2,886,DISTURBING THE PEACE,1501,47,M,H,102,SIDEWALK,,,AO,Adult Other,886,,,,3100    VERA                         AV,,34.0325,-118.3874,other
231507783,4/1/2023 0:00,4/1/2023 0:00,0115,15,N Hollywood,1585,2,886,DISTURBING THE PEACE,1501,30,F,W,402,MARKET,,,AA,Adult Arrest,886,,,,10900    VENTURA                      BL,,34.143,-118.3727,other
231422364,12/27/2023 0:00,12/27/2023 0:00,0945,14,Pacific,1496,2,882,INCITING A RIOT,1501,0,X,X,101,STREET,,,IC,Invest Cont,882,,,,CENTURY                      BL,AVION                        DR,33.9456,-118.3901,other
231109283,5/22/2023 0:00,5/22/2023 0:00,2245,11,Northeast,1181,2,647,THROWING OBJECT AT MOVING VEHICLE,0447 1822 1609,23,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,647,,,,ALVARADO                     ST,RESERVOIR,34.0791,-118.2626,vandalism
230910217,6/5/2023 0:00,4/10/2023 0:00,1241,09,Van Nuys,0952,2,806,PANDERING,1501 1402,0,X,X,101,STREET,,,IC,Invest Cont,806,998,,,5500 N  SEPULVEDA                    BL,,34.1703,-118.4662,other
231517146,11/4/2023 0:00,10/6/2023 0:00,1300,15,N Hollywood,1557,2,886,DISTURBING THE PEACE,,23,F,H,402,MARKET,,,IC,Invest Cont,886,,,,10900    MAGNOLIA                     BL,,34.1649,-118.3682,other
230114835,6/26/2023 0:00,6/25/2023 0:00,0343,01,Central,0128,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0334 1212 1402 1822 2004,0,X,X,503,HOTEL,300,BLACKJACK,AA,Adult Arrest,231,,,,300 E  1ST                          ST,,34.0504,-118.2409,violent
240104045,12/31/2023 0:00,12/31/2023 0:00,0015,01,Central,0142,2,805,PIMPING,0500,29,F,H,503,HOTEL,,,IC,Invest Cont,805,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256,sex
230115123,6/30/2023 0:00,6/30/2023 0:00,1700,01,Central,0152,2,762,LEWD CONDUCT,0910 0917 1822 2004 0528 0529 1402 2048,40,F,B,931,MTA - BLUE LINE - 7TH AND METRO CENTER,,,IC,Invest Cont,762,998,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586,sex
231912551,8/7/2023 0:00,8/4/2023 0:00,0600,19,Mission,1918,2,850,INDECENT EXPOSURE,0529 1822,49,F,H,103,ALLEY,,,AO,Adult Other,850,,,,13800    SAYRE                        ST,,34.3101,-118.4338,sex
230714016,8/31/2023 0:00,8/31/2023 0:00,1715,07,Wilshire,0724,2,755,BOMB SCARE,0403 0903 2055 1528,0,X,X,754,MUSEUM,501,BOMB THREAT,IC,Invest Cont,755,,,,100    THE GROVE                    DR,,34.0736,-118.3563,violent
231112679,8/26/2023 0:00,8/25/2023 0:00,2115,11,Northeast,1142,2,647,THROWING OBJECT AT MOVING VEHICLE,1310 1309 1822 0447 1300 0919 1202,62,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,647,,,,HILLHURST                    AV,RUSSELL                      AV,34.1045,-118.2874,vandalism
230505475,2/9/2023 0:00,1/1/2023 0:00,1200,05,Harbor,0567,2,940,EXTORTION,1912 1901,12,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,2200 S  PACIFIC                      AV,,33.7243,-118.288,fraud
231008943,5/9/2023 0:00,5/9/2023 0:00,1200,10,West Valley,1035,2,886,DISTURBING THE PEACE,1822,77,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,886,,,,6600    BERTRAND                     AV,,34.1903,-118.5244,other
231112733,8/28/2023 0:00,8/26/2023 0:00,1241,11,Northeast,1118,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1501 1822 1212 0443,0,X,X,515,APARTMENT/CONDO COMMON LAUNDRY ROOM,207,OTHER KNIFE,AA,Adult Arrest,231,,,,800    NOLDEN                       ST,,34.1181,-118.1955,violent
231009536,5/24/2023 0:00,5/23/2023 0:00,1200,10,West Valley,1065,2,940,EXTORTION,0913 2040 2041 0337 1915,68,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,940,,,,5300    YARMOUTH                     AV,,34.167,-118.5203,fraud
230300750,7/1/2023 0:00,7/1/2023 0:00,0915,03,Southwest,0328,2,932,PEEPING TOM,0201 1822 0513,43,F,H,203,OTHER BUSINESS,,,IC,Invest Cont,932,,,,HOOVER,32ND                         ST,34.0238,-118.284,sex
230618522,12/1/2023 0:00,12/1/2023 0:00,1300,06,Hollywood,0663,2,850,INDECENT EXPOSURE,1822 0500,44,M,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,850,,,,1000 N  HIGHLAND                     AV,,34.0889,-118.3386,sex
231807557,3/12/2023 0:00,3/12/2023 0:00,0335,18,Southeast,1849,2,647,THROWING OBJECT AT MOVING VEHICLE,0329 1300 1307 1822,46,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647,,,,10900    WILMINGTON                   AV,,33.9371,-118.239,vandalism
231908246,4/20/2023 0:00,4/15/2023 0:00,1200,19,Mission,1985,2,940,EXTORTION,0344,22,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,940,,,,8700    TILDEN                       AV,,34.2279,-118.4483,fraud
231216509,7/27/2023 0:00,7/27/2023 0:00,1130,12,77th Street,1242,2,932,PEEPING TOM,1822,40,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,932,,,,6600    2ND                          AV,,33.9794,-118.3197,sex
230614661,9/1/2023 0:00,9/1/2023 0:00,0845,06,Hollywood,0647,2,886,DISTURBING THE PEACE,0904 1501,30,M,W,102,SIDEWALK,,,IC,Invest Cont,886,,,,6200    HOLLYWOOD                    BL,,34.1016,-118.3246,other
231817107,9/28/2023 0:00,9/28/2023 0:00,1215,18,Southeast,1842,2,762,LEWD CONDUCT,0913 1258 2024 0528 1251 1815 1824,13,M,B,729,SPECIALTY SCHOOL/OTHER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,762,,,,200 E  112TH                        ST,,33.933,-118.2716,sex
